OBJECTID,BOEM Lease Number,Project Name,Project Phase Number,Developer Name,Wind Turbine Identifier,Maximum Height (m),Maximum Megawatts,Maximum Rotor Diameter (m),Wind Turbine Model,Depth (m),Configuration Option Number,Installation Status,Notes,Longitude (NAD83),Latitude (NAD83),Northing,Easting,UTM Zone,Alternate location,x,y
4585,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-J23,290,15,260,Vestas 138-V236,,,Proposed,,-73.2488221,40.23347898,4455142.34,648973.56,18N,,-8154021.578,4899929.041
4586,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-K23,290,15,260,Vestas 138-V236,,,Proposed,,-73.24911573,40.22207997,4453876.52,648973.56,18N,,-8154054.264,4898267.012
4587,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-E24,290,15,260,Vestas 138-V236,,,Proposed,,-73.23337135,40.27584674,4459871.4,650194.3,18N,,-8152301.607,4906108.918
4588,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-F24,290,15,260,Vestas 138-V236,,,Proposed,,-73.23366526,40.26455319,4458617.27,650194.3,18N,,-8152334.326,4904461.231
4589,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-G24,290,15,260,Vestas 138-V236,,,Proposed,,-73.23395901,40.2532597,4457363.15,650194.3,18N,,-8152367.026,4902813.829
4590,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-H24,290,15,260,Vestas 138-V236,,,Proposed,,-73.2342526,40.2419661,4456109.02,650194.3,18N,,-8152399.708,4901166.686
4591,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-J24,290,15,260,Vestas 138-V236,,,Proposed,,-73.23454601,40.23067247,4454854.89,650194.3,18N,,-8152432.371,4899519.813
4592,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-K24,290,15,260,Vestas 138-V236,,,Proposed,,-73.23501474,40.21261809,4452850,650194.3,18N,,-8152484.549,4896887.636
4593,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-C25,290,15,260,Vestas 138-V236,,,Proposed,,-73.21849409,40.29562495,4462092.2,651415.04,18N,,-8150645.479,4908995.148
4594,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-D25,290,15,260,Vestas 138-V236,,,Proposed,,-73.21879069,40.28433162,4460838.08,651415.04,18N,,-8150678.496,4907347.011
4595,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-E25,290,15,260,Vestas 138-V236,,,Proposed,,-73.21908712,40.27303817,4459583.95,651415.04,18N,,-8150711.494,4905699.133
4596,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-F25,290,15,260,Vestas 138-V236,,,Proposed,,-73.21938338,40.2617447,4458329.82,651415.04,18N,,-8150744.474,4904051.526
4597,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-G25,290,15,260,Vestas 138-V236,,,Proposed,,-73.21967948,40.25045129,4457075.7,651415.04,18N,,-8150777.435,4902404.205
4598,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-H25,290,15,260,Vestas 138-V236,,,Proposed,,-73.2199754,40.23915777,4455821.57,651415.04,18N,,-8150810.378,4900757.141
4599,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-J25,290,15,260,Vestas 138-V236,,,Proposed,,-73.22027116,40.22786432,4454567.45,651415.04,18N,,-8150843.302,4899110.362
4600,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-K25,290,15,260,Vestas 138-V236,,,Proposed,,-73.22056676,40.21657075,4453313.32,651415.04,18N,,-8150876.207,4897463.841
4601,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-L25,290,15,260,Vestas 138-V236,,,Proposed,,-73.22093382,40.20253789,4451755,651415.04,18N,,-8150917.068,4895418.332
4602,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-B25,290,15,260,Vestas 138-V236,,,Proposed,,-73.2039073,40.30410779,4463058.88,652635.78,18N,,-8149021.684,4910233.306
4603,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-C26,290,15,260,Vestas 138-V236,,,Proposed,,-73.20420641,40.29281457,4461804.76,652635.78,18N,,-8149054.982,4908584.977
4604,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-D26,290,15,260,Vestas 138-V236,,,Proposed,,-73.20450536,40.28152122,4460550.63,652635.78,18N,,-8149088.26,4906936.908
4605,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-E26,290,15,260,Vestas 138-V236,,,Proposed,,-73.20480414,40.27022786,4459296.5,652635.78,18N,,-8149121.52,4905289.111
4606,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-F26,290,15,260,Vestas 138-V236,,,Proposed,,-73.20510274,40.25893456,4458042.38,652635.78,18N,,-8149154.761,4903641.598
4607,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-G26,290,15,260,Vestas 138-V236,,,Proposed,,-73.20540118,40.24764115,4456788.25,652635.78,18N,,-8149187.983,4901994.343
4608,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-H26,290,15,260,Vestas 138-V236,,,Proposed,,-73.20569945,40.2363478,4455534.13,652635.78,18N,,-8149221.186,4900347.373
4609,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-J26,290,15,260,Vestas 138-V236,,,Proposed,,-73.20599755,40.22505434,4454280,652635.78,18N,,-8149254.371,4898700.662
4610,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-L26,290,15,260,Vestas 138-V236,,,Proposed,,-73.20653195,40.20479299,4452030,652635.78,18N,,-8149313.859,4895747.02
4611,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-B27,290,15,260,Vestas 138-V236,,,Proposed,,-73.18961852,40.30129549,4462771.43,653856.52,18N,,-8147431.065,4909822.804
4612,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-C27,290,15,260,Vestas 138-V236,,,Proposed,,-73.18991998,40.29000235,4461517.31,653856.52,18N,,-8147464.623,4908174.557
4613,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-D27,290,15,260,Vestas 138-V236,,,Proposed,,-73.19022127,40.27870909,4460263.18,653856.52,18N,,-8147498.163,4906526.569
4614,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-E27,290,15,260,Vestas 138-V236,,,Proposed,,-73.19052239,40.2674159,4459009.06,653856.52,18N,,-8147531.684,4904878.865
4615,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-F27,290,15,260,Vestas 138-V236,,,Proposed,,-73.19082335,40.25612259,4457754.93,653856.52,18N,,-8147565.186,4903231.419
4616,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-G27,290,15,260,Vestas 138-V236,,,Proposed,,-73.19112413,40.24482935,4456500.81,653856.52,18N,,-8147598.669,4901584.259
4617,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-H27,290,15,260,Vestas 138-V236,,,Proposed,,-73.19142474,40.233536,4455246.68,653856.52,18N,,-8147632.133,4899937.356
4618,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-K27,290,15,260,Vestas 138-V236,,,Proposed,,-73.19190539,40.21546594,4453240,653856.52,18N,,-8147685.638,4897302.781
4619,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-B28,290,15,260,Vestas 138-V236,,,Proposed,,-73.17533098,40.29848154,4462483.99,655077.26,18N,,-8145840.583,4909412.079
4620,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-C28,290,15,260,Vestas 138-V236,,,Proposed,,-73.17563479,40.28718839,4461229.86,655077.26,18N,,-8145874.404,4907763.9
4621,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-D28,290,15,260,Vestas 138-V236,,,Proposed,,-73.17595053,40.27544507,4459925.74,655077.26,18N,,-8145909.552,4906050.312
4622,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-E28,290,15,260,Vestas 138-V236,,,Proposed,,-73.1762419,40.26460211,4458721.61,655077.26,18N,,-8145941.986,4904468.369
4623,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-F28,290,15,260,Vestas 138-V236,,,Proposed,,-73.1765452,40.25330898,4457467.49,655077.26,18N,,-8145975.749,4902821.018
4624,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-G28,290,15,260,Vestas 138-V236,,,Proposed,,-73.17684832,40.24201573,4456213.36,655077.26,18N,,-8146009.493,4901173.925
4625,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-H28,290,15,260,Vestas 138-V236,,,Proposed,,-73.17727424,40.22613691,4454450,655077.26,18N,,-8146056.906,4898858.501
4626,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-B29,290,15,260,Vestas 138-V236,,,Proposed,,-73.16104469,40.29566576,4462196.54,656298,18N,,-8144250.241,4909001.104
4627,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-C29,290,15,260,Vestas 138-V236,,,Proposed,,-73.16135085,40.28437279,4460942.42,656298,18N,,-8144284.322,4907353.019
4628,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-D29,290,15,260,Vestas 138-V236,,,Proposed,,-73.16166903,40.27262946,4459638.29,656298,18N,,-8144319.742,4905639.502
4629,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-E29,290,15,260,Vestas 138-V236,,,Proposed,,-73.16196265,40.26178668,4458434.17,656298,18N,,-8144352.428,4904057.65
4630,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-F29,290,15,260,Vestas 138-V236,,,Proposed,,-73.16226829,40.25049354,4457180.04,656298,18N,,-8144386.451,4902410.366
4631,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-A30,290,15,260,Vestas 138-V236,,,Proposed,,-73.14646282,40.3037079,4463115.1,657518.74,18N,,-8142626.995,4910174.933
4632,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-B30,290,15,260,Vestas 138-V236,,,Proposed,,-73.14675965,40.29284833,4461909.1,657518.74,18N,,-8142660.038,4908589.906
4633,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-C30,290,15,260,Vestas 138-V236,,,Proposed,,-73.14706816,40.28155535,4460654.97,657518.74,18N,,-8142694.381,4906941.888
4634,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-D30,290,15,260,Vestas 138-V236,,,Proposed,,-73.14737649,40.27026244,4459400.85,657518.74,18N,,-8142728.704,4905294.156
4635,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-E30,290,15,260,Vestas 138-V236,,,Proposed,,-73.14768465,40.25896941,4458146.72,657518.74,18N,,-8142763.008,4903646.682
4636,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-F30,290,15,260,Vestas 138-V236,,,Proposed,,-73.14799263,40.24767636,4456892.59,657518.74,18N,,-8142797.293,4901999.479
4637,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-B31,290,15,260,Vestas 138-V236,,,Proposed,,-73.13247587,40.29002907,4461621.65,658739.48,18N,,-8141069.974,4908178.457
4638,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-C31,290,15,260,Vestas 138-V236,,,Proposed,,-73.13278672,40.27873618,4460367.52,658739.48,18N,,-8141104.578,4906530.521
4639,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-E31,290,15,260,Vestas 138-V236,,,Proposed,,-73.13336069,40.25786786,4458050,658739.48,18N,,-8141168.472,4903485.997
4640,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-D32,290,15,260,Vestas 138-V236,,,Proposed,,-73.11871623,40.26835085,4459240,659960.22,18N,,-8139538.258,4905015.265
4641,OCS-A 0512,Empire Wind,2,"Empire Offshore Wind, LLC",EW2-B33,290,15,260,Vestas 138-V236,,,Proposed,,-73.10406485,40.27892191,4460440,661180.95,18N,,-8137907.274,4906557.621
4785,OCS-A 0490,Maryland Offshore Wind Project,n/a,"US Wind, Inc.",UD-02,286,18,250,,,,,,-74.84118313,38.40422593,4250678.213,513866.8158,18N,,-8331282.569,4636688.925
4786,OCS-A 0490,Maryland Offshore Wind Project,n/a,"US Wind, Inc.",UF-02,286,18,250,,,,,,-74.84656555,38.37048868,4246933.948,513403.0839,18N,,-8331881.737,4631897.563
4787,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B07,266,12,220,8-12 MW,,1,Proposed,,-71.17278048,41.22591015,4566112,317885.3656,19N,,-7922917.741,5045721.939
4788,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B08,266,12,220,8-12 MW,,1,Proposed,,-71.15082817,41.22625223,4566104.203,319726.3851,19N,,-7920474.02,5045772.57
4789,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B09,266,12,220,8-12 MW,,1,Proposed,,-71.12864273,41.22672406,4566110.797,321587.275,19N,,-7918004.348,5045842.405
4790,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B10,266,12,220,8-12 MW,,1,Proposed,,-71.10670079,41.22719759,4566118.55,323427.73,19N,,-7915561.781,5045912.492
4791,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B11,266,12,220,8-12 MW,,1,Proposed,,-71.08468239,41.22754074,4566112.14,325274.2159,19N,,-7913110.703,5045963.284
4792,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B13,266,12,220,8-12 MW,,1,Proposed,,-71.1941141,41.20880643,4564257.999,316049.2031,19N,,-7925292.589,5043190.778
4793,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B14,266,12,220,8-12 MW,,1,Proposed,,-71.17226266,41.20923623,4564259.703,317882.5014,19N,,-7922860.097,5043254.375
4794,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B15,266,12,220,8-12 MW,,1,Proposed,,-71.10625106,41.21047173,4564260.67,323420.4246,19N,,-7915511.716,5043437.196
4795,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B16,266,12,220,8-12 MW,,1,Proposed,,-71.08418572,41.21086733,4564260,325271.456,19N,,-7913055.413,5043495.734
4796,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B18,266,12,220,8-12 MW,,1,Proposed,,-71.21572528,41.19172947,4562408,314188.919,19N,,-7927698.335,5040664.237
4797,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B19,266,12,220,8-12 MW,,1,Proposed,,-71.19374865,41.19215038,4562408,316033.183,19N,,-7925251.908,5040726.503
4798,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B20,266,12,220,8-12 MW,,1,Proposed,,-71.17170595,41.19256834,4562408,317882.9531,19N,,-7922798.124,5040788.332
4799,OCS-A 0486,Revolution Wind,,Revolution Wind LLC,B22,266,12,220,8-12 MW,,1,Proposed,,-71.12766179,41.19343077,4562412.437,321579.0243,19N,,-7917895.15,5040915.916
