OBJECTID,BOEM Lease Number,Project Name,Project Phase Number,Developer Name,Wind Turbine Identifier,Maximum Height (m),Maximum Megawatts,Maximum Rotor Diameter (m),Wind Turbine Model,Depth (m),Configuration Option Number,Installation Status,Notes,Longitude (NAD83),Latitude (NAD83),Northing,Easting,UTM Zone,Alternate location,x,y
101,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AM05,240,11,200,SG 11.0-200DD,,,Proposed,,-71.19006281,41.10881473,4553148,316109.4642,19N,,-7924841.6,5028406.336
102,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AN06,240,11,200,SG 11.0-200DD,,,Proposed,,-71.16770589,41.09195975,4551229.758,317940.2425,19N,,-7922352.839,5025916.433
103,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AN08,240,11,200,SG 11.0-200DD,,,Proposed,,-71.12339998,41.0933818,4551296,321665.4607,19N,,-7917420.726,5026126.481
104,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AP09,240,11,200,SG 11.0-200DD,,,Proposed,,-71.10188487,41.07750013,4549488.978,323430,19N,,-7915025.674,5023780.895
105,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AM08,240,11,200,SG 11.0-200DD,,,Proposed,,-71.12495283,41.10924677,4553060.539,321578,19N,,-7917593.588,5028470.167
106,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AM06,240,11,200,SG 11.0-200DD,,,Proposed,,-71.16906236,41.10921219,4553148,317874,19N,,-7922503.841,5028465.059
107,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AM07,240,11,200,SG 11.0-200DD,,,Proposed,,-71.14702052,41.10962524,4553148,319726,19N,,-7920050.153,5028526.085
108,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AN05,240,11,200,SG 11.0-200DD,,,Proposed,,-71.19054951,41.09212418,4551296,316022,19N,,-7924895.779,5025940.721
109,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AN09,240,11,200,SG 11.0-200DD,,,Proposed,,-71.1024035,41.093767,4551296,323430,19N,,-7915083.407,5026183.379
110,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AP05,240,11,200,SG 11.0-200DD,,,Proposed,,-71.18999573,41.07545338,4549444,316022,19N,,-7924834.134,5023478.648
111,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AP07,240,11,200,SG 11.0-200DD,,,Proposed,,-71.14593476,41.07628273,4549444,319726,19N,,-7919929.287,5023601.118
112,OCS-A 0517,South Fork Wind,,"South Fork Wind, LLC",AP08,240,11,200,SG 11.0-200DD,,,Proposed,,-71.12390359,41.07669109,4549444,321578,19N,,-7917476.787,5023661.421
113,OCS-A 0487,Sunrise Wind,,Orsted,88,240,11,200,SG 11.0-200DD,,,Proposed,,-71.07826464,41.02747888,4543888,325282,19N,,-7912396.281,5016396.885
114,OCS-A 0487,Sunrise Wind,,Orsted,89,240,11,200,SG 11.0-200DD,,,Proposed,,-71.10030801,41.02608832,4543778,323425,19N,,-7914850.138,5016191.694
115,OCS-A 0487,Sunrise Wind,,Orsted,90,240,11,200,SG 11.0-200DD,,,Proposed,,-71.12229502,41.02667619,4543888,321578,19N,,-7917297.722,5016278.44
